,create_at,text,hashtag,retweet_count,favourite_count,user,geo,id
64,2023-08-25 16:30:00+00:00,"แสงจันทร์กระจ่างชัดขึ้นในแต่ละวัน 
สายตาคลายมืดมัวทีละนิด 
🌘 #คืนเดือนหงายอยู่ไม่ไกล 🌕

EP16 #readawrite 📗 https://t.co/8ed3AG4QGJ

#นิทาน #เรื่องสั้น #ซึมเศร้า #โรคซึมเศร้า #มันดีขึ้นได้ https://t.co/gOP9UYIEyt",,,,thisissoke,,1465268133787172866
65,2023-08-25 16:11:16+00:00,"RT @Manoy_c9: สัญญาณที่บ่งบอกว่าเราเครียดมากเกินไป
- เงียบใส่คนอื่นแบบไม่รู้ตัว
- สุขกับอะไรไม่สุด 
- แม้กระทั่งสิ่งที่เราชอบก็ฮีลเราไม่ได้…",,,,lynessamc,,1194991405627654145
66,2023-08-25 15:46:00+00:00,คำให้กำลังใจ #กำลังใจ #สติกเกอร์ไลน์ #พาสเทล #สุ่มแจก #ไลน์สติกเกอร์ #ซึมเศร้า #Stickerline #สตก #อยู่ข้างๆเธอ #supporter #เลิฟยู #รับวาดรูป #digitalart https://t.co/61xXKArkwG https://t.co/0LpCGaz8jc,,,,paweeilluss,,1652670737092870146
67,2023-08-25 15:45:05+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,beer213wj,,2815217150
68,2023-08-25 15:41:36+00:00,"RT @Manoy_c9: สัญญาณที่บ่งบอกว่าเราเครียดมากเกินไป
- เงียบใส่คนอื่นแบบไม่รู้ตัว
- สุขกับอะไรไม่สุด 
- แม้กระทั่งสิ่งที่เราชอบก็ฮีลเราไม่ได้…",,,,jaodokmali,,1135541692038168577
69,2023-08-25 15:08:41+00:00,"RT @chewycloudbake: 🙏🏼ใครเห็นฝาก rt หน่อยนะคะ

พร้อมส่ง #ขนมโฮมเมด อร่อยจริง!🪄
รอบส่งภายใน 1-2 วัน #อร่อยบอกต่อ ต้องลอง!
🧈ใช้เนยแท้ 100% แล…",,,,shawtynbitter,,1386358627271725056
70,2023-08-25 15:08:12+00:00,"RT @chewycloudbake: 🙏🏼ใครเห็นฝาก rt หน่อยนะคะ

พร้อมส่ง #ขนมโฮมเมด อร่อยจริง!🪄
รอบส่งภายใน 1-2 วัน #อร่อยบอกต่อ ต้องลอง!
🧈ใช้เนยแท้ 100% แล…",,,,itsmummiex,,1375829253233602560
71,2023-08-25 14:35:35+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,patzii_pat,,77993861
72,2023-08-25 14:34:43+00:00,"RT @tawan247: แกไปได้ดี แต่เรายังยืนรักษาแผลตัวเองที่เดิมอยู่เลย.......

#เธรดเศร้า #ความรู้สึกของวันนี้ #ซึมเศร้า https://t.co/9kxb0y3G8Q",,,,beta_dxible,,1682727190599983104
73,2023-08-25 14:27:05+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,ja_ae24,,241381099
